"","source","target","value"
"1","Contribuições sociais (exceto RGPS) e econômicas","Amortização da Dívida",1784839795.66127
"2","Contribuições sociais (exceto RGPS) e econômicas","Benefícios Previdenciários RGPS",27307887291.0253
"3","Contribuições sociais (exceto RGPS) e econômicas","Benefícios Previdenciários RPPS",84804279388.1002
"4","Contribuições sociais (exceto RGPS) e econômicas","Custeio Administrativo",8596541168.60792
"5","Contribuições sociais (exceto RGPS) e econômicas","Custeio de Educação",9745951165.45466
"6","Contribuições sociais (exceto RGPS) e econômicas","Custeio de Saúde",103514773237.823
"7","Contribuições sociais (exceto RGPS) e econômicas","Custeio Social",128111461555.968
"8","Contribuições sociais (exceto RGPS) e econômicas","Investimentos",104867768827.401
"9","Contribuições sociais (exceto RGPS) e econômicas","Outras transferências",14609448768.3013
"10","Contribuições sociais (exceto RGPS) e econômicas","Pessoal Ativo",19509731898.4624
"11","Contribuições sociais (exceto RGPS) e econômicas","Reserva de Contingência",9623731962.1952
"12","Demais receitas","Amortização da Dívida",8754366383.65376
"13","Demais receitas","Benefícios Previdenciários RGPS",3705921794.63634
"14","Demais receitas","Benefícios Previdenciários RPPS",980969364.229536
"15","Demais receitas","Custeio Administrativo",15677876551.5256
"16","Demais receitas","Custeio de Educação",2550065859.88109
"17","Demais receitas","Custeio de Saúde",1886178049.98432
"18","Demais receitas","Custeio Social",2055764367.03083
"19","Demais receitas","Investimentos",5964633490.36258
"20","Demais receitas","Outras transferências",484675484.347933
"21","Demais receitas","Pessoal Ativo",10669848915.1879
"22","Demais receitas","Reserva de Contingência",8992244736.96458
"23","Emissões de Dívida","Amortização da Dívida",944274767958.08
"24","Emissões de Dívida","Benefícios Previdenciários RGPS",213696857980.636
"25","Emissões de Dívida","Benefícios Previdenciários RPPS",44955773653.1339
"26","Emissões de Dívida","Custeio Administrativo",54592635412.1726
"27","Emissões de Dívida","Custeio de Educação",5938110506.01759
"28","Emissões de Dívida","Custeio Social",9670257536.0288
"29","Emissões de Dívida","Investimentos",8616592451.02219
"30","Emissões de Dívida","Juros",409549163856.22
"31","Emissões de Dívida","Outras transferências",366157515.571091
"32","Emissões de Dívida","Pessoal Ativo",39394691471.1173
"33","Exploração de Petróleo e outros recursos naturais","Amortização da Dívida",13463269102.3031
"34","Exploração de Petróleo e outros recursos naturais","Custeio Administrativo",518623931.490473
"35","Exploração de Petróleo e outros recursos naturais","Custeio de Educação",10251666776.4725
"36","Exploração de Petróleo e outros recursos naturais","Custeio de Saúde",728347652
"37","Exploração de Petróleo e outros recursos naturais","Investimentos",10651240501.399
"38","Exploração de Petróleo e outros recursos naturais","Outras transferências",42483374124.6894
"39","Exploração de Petróleo e outros recursos naturais","Pessoal Ativo",335732644.883925
"40","Exploração de Petróleo e outros recursos naturais","Reserva de Contingência",5737975773.7616
"41","Impostos","Amortização da Dívida",105944488947.239
"42","Impostos","Benefícios Previdenciários RPPS",13417744533.6078
"43","Impostos","Custeio Administrativo",26646148956.4688
"44","Impostos","Custeio de Educação",16694325387.3441
"45","Impostos","Custeio de Saúde",4354266452.2179
"46","Impostos","Custeio Social",734383930.096559
"47","Impostos","Investimentos",37709615278.1934
"48","Impostos","Outras transferências",224009378338.775
"49","Impostos","Pessoal Ativo",130499589179.226
"50","Impostos","Reserva de Contingência",2326385855.83204
"51","Juros e remunerações recebidas","Amortização da Dívida",68183976261.8429
"52","Juros e remunerações recebidas","Custeio Administrativo",3945994058.19804
"53","Juros e remunerações recebidas","Custeio Social",13453800546.0002
"54","Juros e remunerações recebidas","Investimentos",17927005564.8323
"55","Juros e remunerações recebidas","Reserva de Contingência",5049774409.50886
"56","Outras receitas financeiras","Amortização da Dívida",50675427514.0075
"57","Outras receitas financeiras","Custeio Administrativo",329562782.820049
"58","Outras receitas financeiras","Custeio de Educação",590988226.000087
"59","Outras receitas financeiras","Custeio de Saúde",5041281560.00074
"60","Outras receitas financeiras","Investimentos",8638546023.00127
"61","Outras receitas financeiras","Outras transferências",609775440.17009
"62","Outras receitas financeiras","Reserva de Contingência",1726717900.00025
"63","Receitas do RGPS","Benefícios Previdenciários RGPS",432757876969.251
"64","Receitas do RGPS","Custeio Administrativo",626257127.774064
"65","Receitas do RGPS","Investimentos",792985933.243833
"66","Receitas do RGPS","Reserva de Contingência",2170664598.76772
